Gene	GSM4819286	GSM4819287	GSM4819288	GSM4819289	GSM4819298	GSM4819299	GSM4819300	GSM4819301
TSPY26P	9	19	11	30	15	17	26	15
PLAGL2	820	936	793	1065	1106	1489	883	1086
POFUT1	492	611	550	729	590	613	566	590
MIR1825	0	0	0	0	0	0	0	0
KIF3B	915	980	670	1060	1052	966	717	929
ASXL1	3149	2896	3926	4914	3772	3636	4089	4401
NOL4L	1028	1537	1182	1660	1329	1412	1470	1549
LOC101929698	91	56	170	152	87	40	158	68
NOL4L-DT	0	0	0	0	0	0	0	0
C20orf203	1	1	7	5	2	0	2	6
COMMD7	867	1022	742	1041	730	727	670	853
DNMT3B	10	7	18	8	14	6	16	11
MAPRE1	5580	6083	3616	5431	5395	6723	3584	4395
EFCAB8	19	11	15	28	16	11	16	18
SUN5	0	0	0	0	0	0	0	0
BPIFB2	0	0	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0	0	0
BPIFB3	0	0	0	0	0	0	0	0
BPIFB4	0	0	0	0	0	0	0	0
LOC105372714	0	0	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0	0	0
BPIFA4P	0	0	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0	0	0
BPIFA1	0	0	0	0	0	0	0	0
BPIFB1	0	0	0	0	0	0	0	0
CDK5RAP1	973	759	948	1291	942	767	756	938
SNTA1	487	353	342	576	335	200	246	305
CBFA2T2	1199	1130	1138	1531	1480	1224	1278	1350
NECAB3	144	104	142	193	203	143	204	166
C20orf144	0	0	0	0	0	0	0	0
ACTL10	21	39	39	73	30	50	43	56
E2F1	70	74	141	137	79	59	118	101
PXMP4	229	156	265	267	219	137	239	212
ZNF341	188	158	158	216	143	159	183	201
ZNF341-AS1	1	1	2	1	0	5	3	1
CHMP4B	4013	5306	2494	3971	4102	6403	2823	3457
RALY-AS1	17	13	10	16	10	17	12	11
RALY	2772	3144	2593	3740	3066	3474	2694	3118
MIR4755	0	0	0	0	0	0	0	0
EIF2S2	1178	1340	907	1313	1260	1828	953	1090
ASIP	1	0	4	4	4	0	1	3
AHCY	707	696	725	929	688	786	683	655
ITCH	3372	3740	2929	3552	3342	3403	2666	2664
MIR644A	0	0	0	0	0	0	0	0
DYNLRB1	949	988	786	1104	871	938	806	914
MAP1LC3A	75	120	129	166	128	225	169	180
PIGU	231	158	243	364	214	205	255	287
TP53INP2	495	520	451	685	845	1260	584	802
NCOA6	1235	1592	980	1378	1203	1333	1068	1051
HMGB3P1	0	0	0	0	0	0	0	0
GGT7	374	340	536	768	417	352	599	713
ACSS2	391	553	290	485	357	464	358	435
GSS	727	703	623	911	696	728	648	825
MYH7B	6	11	6	14	11	5	13	11
MIR499A	0	0	0	0	0	0	0	0
MIR499B	1	0	1	2	1	1	0	0
TRPC4AP	5076	4907	4616	6651	4620	4911	4299	4909
EDEM2	596	539	549	781	512	416	580	577
PROCR	302	52	51	87	193	45	47	45
MMP24	14	1	12	19	25	26	15	14
MMP24OS	787	842	574	1077	808	1110	572	821
EIF6	1974	2265	1617	2270	1815	2350	1657	1831
FAM83C-AS1	0	1	0	0	0	0	0	0
FAM83C	0	0	0	0	1	0	0	1
UQCC1	302	315	387	452	359	286	402	346
GDF5	0	0	0	0	0	0	0	0
MIR1289-1	0	0	0	0	0	0	0	0
CEP250	1041	930	1137	1335	1089	917	1139	1185
C20orf173	0	0	0	0	0	0	0	0
ERGIC3	2055	2157	1997	2660	1994	2060	2098	2180
FER1L4	3	9	13	14	9	6	15	7
SPAG4	323	211	602	622	360	241	449	439
CPNE1	2831	2520	3056	3532	3045	2585	2931	3141
RBM12	3094	2977	2312	3273	3309	3922	2330	2737
NFS1	263	289	298	422	258	253	293	333
ROMO1	302	399	272	407	357	466	277	355
RBM39	9879	9074	10266	13300	9607	9544	8595	9594
PHF20	2571	2065	3117	3879	1594	1201	1936	1807
SCAND1	366	555	427	622	480	673	481	533
CNBD2	16	15	20	19	11	14	12	17
NORAD	8253	8033	6500	9362	8133	7666	6720	7449
EPB41L1	9	7	5	10	9	9	15	13
AAR2	1041	1127	779	1239	1037	1291	741	944
DLGAP4	1055	1459	1028	1388	948	1557	1096	1158
DLGAP4-AS1	7	5	9	4	2	0	3	5
MYL9	104	42	42	104	109	46	35	78
TGIF2	653	691	956	1139	1126	1044	1237	1347
TGIF2-RAB5IF	0	0	0	0	0	0	0	0
RAB5IF	61	109	85	260	89	144	92	113
SLA2	3500	4861	4784	4879	4082	5317	4961	4333
NDRG3	491	472	587	593	485	448	575	504
DSN1	215	230	333	352	226	175	259	259
SOGA1	125	173	144	172	148	200	164	174
TLDC2	25	4	41	101	23	16	45	46
SAMHD1	6939	4593	9123	14017	3436	2165	5318	5290
RBL1	620	457	816	1290	598	366	763	969
MROH8	9	10	11	22	16	10	13	16
RPN2	4783	5589	3720	5576	4631	5519	3781	4300
GHRH	0	0	0	0	0	0	0	0
MANBAL	243	292	219	329	249	375	245	262
SRC	1644	4566	873	1661	2859	8881	1422	1869
BLCAP	1762	1942	1884	2465	1660	2031	1846	1852
NNAT	1	0	1	1	2	3	0	3
LINC00489	0	0	0	0	0	0	0	0
LOC100287792	0	0	0	0	0	0	0	0
CTNNBL1	1745	1540	1329	2094	1152	1236	1084	1178
VSTM2L	50	52	25	78	1	0	1	0
TTI1	741	779	797	1004	659	690	675	627
RPRD1B	1526	1692	1136	1677	1353	1482	1086	1224
TGM2	2938	2278	479	1244	2944	2038	1502	1978
KIAA1755	1	2	0	0	0	1	0	1
LOC149684	0	0	0	1	0	0	0	0
BPI	193	413	81	110	220	401	79	77
LBP	0	0	0	0	0	0	0	1
SNHG17	274	365	270	395	388	651	241	344
SNORA71B	3	4	6	8	2	7	2	8
SNORA71A	6	2	1	4	3	6	2	0
SNORA71C	3	3	3	4	2	8	6	4
SNORA71D	0	1	0	0	1	0	0	0
SNHG11	117	94	150	195	93	97	139	136
SNORA71E	5	4	2	10	10	4	3	3
SNORA60	3	3	7	10	0	3	4	4
RALGAPB	2846	2931	2530	3313	2825	2790	2533	2684
MIR548O2	0	0	0	0	0	0	0	0
ADIG	0	0	0	0	0	0	0	0
ARHGAP40	0	1	0	0	0	0	0	1
SLC32A1	0	0	2	2	9	1	1	3
ACTR5	539	464	468	676	599	549	466	574
PPP1R16B	4994	4708	4668	5784	7827	6899	6511	6880
FAM83D	25	29	40	33	42	30	33	35
DHX35	403	400	517	530	405	393	394	359
LINC01734	0	0	0	0	0	0	0	0
LINC01370	0	0	0	0	0	0	0	0
MAFB	12142	13128	4673	8871	10032	13059	4189	8530
TOP1	8090	10401	5258	8359	4198	4502	2817	3558
PLCG1-AS1	26	15	36	54	41	21	25	30
PLCG1	2577	2046	3432	3404	2965	2349	3620	2922
MIR6871	0	1	3	0	0	1	0	0
ZHX3	156	120	264	317	146	119	234	235
LPIN3	9	7	14	13	8	4	22	10
EMILIN3	0	0	0	0	0	0	0	0
CHD6	2181	1926	2355	2830	2465	1730	2318	2269
PTPRT	0	0	0	0	0	0	0	0
LOC101927159	0	0	0	0	0	0	0	0
SRSF6	7338	6868	8532	10409	8516	9225	8205	8907
L3MBTL1	60	55	103	102	72	78	92	77
SGK2	3	2	4	1	3	1	5	3
IFT52	355	341	340	413	376	322	342	315
MYBL2	51	37	156	145	76	49	140	178
GTSF1L	1	0	1	0	2	0	3	2
TOX2	97	47	123	146	139	105	155	188
JPH2	0	2	0	2	0	1	0	1
OSER1	1120	1201	1120	1657	1162	1113	1221	1333
OSER1-DT	159	69	220	388	153	57	240	325
GDAP1L1	0	0	0	0	0	0	0	0
FITM2	29	23	37	27	25	19	24	30
R3HDML	0	0	0	0	0	0	0	0
HNF4A	0	1	0	0	0	0	0	0
HNF4A-AS1	0	0	0	0	0	0	0	0
MIR3646	0	0	0	0	0	0	0	0
LINC01430	0	0	0	0	0	0	0	0
LINC01620	0	0	0	0	1	0	0	0
TTPAL	819	715	824	1201	927	775	772	1040
SERINC3	3394	3084	2903	3973	3467	2807	2824	3207
PKIG	84	84	180	178	120	129	235	242
ADA	530	1938	830	992	777	2804	1064	1097
LINC01260	43	15	42	70	80	14	81	79
CCN5	0	0	0	0	0	0	0	0
KCNK15	0	0	0	0	0	0	0	1
RIMS4	0	1	0	1	0	0	0	1
YWHAB	12426	12526	10241	14037	12731	12429	10110	11218
PABPC1L	255	233	426	556	307	279	408	492
TOMM34	310	301	351	472	337	365	391	364
STK4-DT	2	0	1	0	1	1	0	1
STK4	8422	7947	10385	12019	8324	7309	9617	7982
KCNS1	1	1	1	0	0	0	1	0
WFDC5	0	0	0	0	0	0	0	0
WFDC12	0	0	0	0	0	0	0	0
PI3	1	3	0	2	2	3	0	0
SEMG1	0	0	0	0	0	0	0	0
SEMG2	0	2	0	0	0	0	0	0
SLPI	35	61	11	4	36	76	10	8
MATN4	0	0	0	0	0	0	0	1
RBPJL	0	0	0	0	0	0	0	0
SDC4	945	866	333	699	1101	1287	280	597
SYS1	884	931	872	1199	906	976	1046	1002
SYS1-DBNDD2	0	0	0	0	0	0	0	0
TP53TG5	0	0	0	0	1	3	2	0
DBNDD2	4	3	5	21	9	15	11	6
PIGT	1250	1361	1270	1717	1184	1417	1321	1411
MIR6812	0	0	2	0	3	2	1	1
WFDC2	1	3	6	2	2	0	4	5
SPINT3	0	0	0	0	0	0	0	0
WFDC6	0	0	0	0	0	0	0	0
EPPIN-WFDC6	0	0	1	0	0	0	0	0
EPPIN	0	0	0	0	0	0	0	0
WFDC8	0	0	0	0	0	0	0	0
WFDC9	0	0	0	0	0	0	0	0
WFDC10A	0	0	0	0	0	0	0	0
WFDC11	0	0	0	0	0	0	0	0
WFDC10B	0	0	0	0	0	0	0	0
WFDC13	0	0	0	0	0	0	0	0
MIR3617	0	0	0	0	0	0	0	0
SPINT4	0	0	0	0	0	0	0	0
WFDC3	0	0	0	2	3	0	1	3
DNTTIP1	502	667	450	656	435	573	440	434
UBE2C	15	9	34	19	17	12	38	16
TNNC2	6	10	8	6	5	9	8	10
SNX21	68	64	44	67	55	53	46	46
ACOT8	261	238	290	356	251	240	288	261
ZSWIM3	233	237	266	331	252	231	247	262
ZSWIM1	253	262	225	310	229	313	241	279
SPATA25	11	6	6	5	14	13	6	6
NEURL2	12	36	8	21	21	28	23	18
CTSA	2203	2540	1347	2231	2096	3160	1412	1852
PLTP	15	29	24	26	33	47	34	22
PCIF1	1374	1378	1488	1899	1446	1433	1530	1649
ZNF335	1801	1851	1738	2415	2105	2539	1956	2208
MMP9	80	231	30	95	264	717	76	141
SLC12A5	0	0	12	3	0	3	7	5
NCOA5	1220	1413	1204	1745	1511	1602	1336	1373
CD40	86	124	300	464	162	287	464	576
CDH22	0	0	0	0	1	0	0	1
SLC35C2	1416	1304	1943	2506	1680	1293	1823	1994
ELMO2	1647	1447	1643	2411	1551	1436	1358	1478
ZNF663P	0	0	0	0	0	0	0	0
MKRN7P	0	0	1	1	0	0	0	0
ZNF334	1	0	2	5	1	6	3	6
OCSTAMP	0	0	0	0	0	0	0	0
SLC13A3	1	2	5	3	4	9	1	3
TP53RK	682	627	793	1116	835	752	869	933
SLC2A10	2	1	3	0	1	4	3	4
EYA2	4	2	2	4	4	1	1	2
MIR3616	0	0	0	0	0	0	0	0
ZMYND8	1308	1396	1332	1604	620	488	682	664
LOC100131496	3	11	0	7	0	0	0	0
NCOA3	3767	4322	3348	3959	3066	3141	3281	3191
SULF2	2002	3565	1210	1738	1203	1920	1081	1223
LINC01522	0	0	0	0	0	0	0	0
LINC01523	0	0	0	0	0	0	0	0
LINC00494	13	20	49	38	21	13	45	46
PREX1	9628	14264	9040	9330	7270	8058	7200	5360
ARFGEF2	2077	2080	1978	2457	2168	2045	2079	2090
CSE1L-DT	0	1	0	0	0	0	1	0
CSE1L	1488	1305	1325	1769	1580	1394	1330	1459
STAU1	1974	2184	1889	2570	2031	2256	1841	2076
DDX27	2418	2032	2807	3653	2477	2412	2522	2819
ZNFX1	3416	3869	2951	4512	3921	4707	3283	4039
ZFAS1	1777	1856	2009	2773	1651	1920	2148	2021
SNORD12C	0	5	4	4	1	2	2	4
SNORD12B	5	6	2	4	5	11	3	3
SNORD12	11	11	9	10	8	16	11	11
KCNB1	0	1	1	1	1	1	1	0
PTGIS	0	0	0	0	0	0	0	0
B4GALT5	1651	2163	1002	1385	2768	4282	1222	1498
SLC9A8	1263	1647	1282	1721	1397	2072	1303	1471
SPATA2	395	345	343	477	472	415	403	497
RNF114	2064	1942	2130	3053	2126	1949	2038	2439
SNAI1	42	75	21	38	108	347	73	83
TRERNA1	1	1	2	1	3	0	2	1
UBE2V1	52	41	41	37	66	68	36	36
PEDS1-UBE2V1	0	0	0	0	0	0	0	0
PEDS1	681	849	435	637	663	1153	412	450
LINC01273	0	0	0	0	1	0	0	0
CEBPB-AS1	155	160	137	176	115	216	85	78
CEBPB	5013	7957	2697	7763	2977	6926	2049	2858
PELATON	2528	4285	1563	2663	1054	3245	1074	1186
LINC01270	18	37	14	14	7	17	3	8
LINC01271	0	0	0	0	0	0	0	0
PTPN1	6335	7257	4803	7262	3524	4295	3068	3657
MIR645	0	0	0	0	1	0	0	0
RIPOR3	6	14	8	6	6	17	4	8
MIR1302-5	0	0	0	0	0	0	0	0
RIPOR3-AS1	0	0	0	0	0	0	0	0
PARD6B	63	42	50	84	59	34	51	69
BCAS4	224	127	322	552	247	155	311	446
ADNP	3044	2976	2839	3727	3049	3128	2944	2988
ADNP-AS1	20	19	28	32	22	20	20	25
DPM1	832	875	764	1058	970	936	706	874
MOCS3	247	230	281	318	316	264	327	265
KCNG1	10	13	22	41	15	13	30	52
NFATC2	1802	1624	2027	2508	3073	2569	2894	3088
MIR3194	0	0	0	0	0	0	0	0
ATP9A	161	211	100	104	206	230	112	85
SALL4	2	2	1	0	0	5	3	0
LINC01429	0	0	0	0	0	0	0	1
ZFP64	116	97	132	134	136	96	139	111
LINC01524	0	0	0	0	0	1	0	1
TSHZ2	169	134	175	375	258	145	201	281
LOC101927770	1	2	0	0	0	1	0	1
ZNF217	3670	5122	2993	3757	4291	5433	3517	3681
SUMO1P1	9	14	8	6	7	18	4	4
BCAS1	6	10	3	12	4	7	4	9
MIR4756	0	0	0	0	0	0	0	0
CYP24A1	2	9	5	23	3	20	8	16
PFDN4	195	158	213	232	234	201	215	193
DOK5	0	0	0	0	0	1	0	0
LINC01441	0	0	0	0	0	0	0	0
LINC01440	0	0	0	0	0	0	0	0
CBLN4	0	0	0	0	0	0	0	0
MC3R	0	0	0	0	0	0	0	0
FAM210B	451	384	546	771	438	312	531	544
AURKA	77	61	82	81	56	51	66	59
CSTF1	637	631	615	838	644	600	625	688
CASS4	585	823	614	1063	234	460	354	369
RTF2	2561	3132	1885	2880	2428	3214	1987	2361
GCNT7	0	0	0	0	1	0	0	1
FAM209A	7	11	20	17	21	14	14	16
FAM209B	11	10	18	14	17	15	13	19
LINC01716	0	0	0	0	0	0	0	0
TFAP2C	2	0	0	0	0	0	0	0
BMP7	0	0	0	1	0	0	0	0
BMP7-AS1	0	0	0	0	0	0	0	0
MIR4325	0	0	0	0	0	0	0	0
SPO11	0	0	0	0	0	0	0	0
RAE1	731	881	679	933	851	952	740	833
MTRNR2L3	1	1	1	0	0	2	0	0
RBM38	4135	3504	6669	8498	5107	3786	7814	7511
CTCFL	0	0	0	0	0	0	0	0
PCK1	0	0	0	0	0	0	0	0
ZBP1	441	551	519	620	389	511	466	454
PMEPA1	1932	2389	2081	3608	2958	3075	2989	3897
C20orf85	0	0	0	0	0	0	0	0
ANKRD60	0	0	0	0	0	0	0	0
PPP4R1L	165	255	215	258	198	316	190	262
RAB22A	1231	1399	1011	1358	1368	1507	1096	1313
VAPB	1120	1105	968	1473	1079	1129	937	1082
APCDD1L	2	0	0	0	0	0	0	0
APCDD1L-DT	2	0	2	0	3	0	0	0
LINC01711	0	0	1	0	0	0	0	0
STX16-NPEPL1	68	50	38	84	55	61	25	59
STX16	2101	1958	2447	3088	2274	1811	2273	2478
NPEPL1	39	41	42	75	43	42	43	45
MIR296	1	0	0	0	0	0	0	0
MIR298	0	0	0	0	0	0	0	0
GNAS-AS1	1	0	0	1	0	2	0	0
GNAS	12425	12414	13777	19720	14080	13312	14973	16898
LOC101927932	1	0	5	5	1	1	4	0
NELFCD	1356	1329	1309	1782	1469	1617	1386	1459
CTSZ	1883	3907	1641	2643	1891	4494	1811	2059
TUBB1	824	885	605	1365	879	912	630	1137
SLMO2-ATP5E	0	0	0	0	0	0	0	0
ATP5F1E	169	131	94	175	145	156	115	125
PRELID3B	561	506	445	569	763	579	550	524
ZNF831	1777	1304	1962	2320	1306	751	1201	1042
EDN3	54	7	15	25	26	1	11	7
PHACTR3	0	1	0	0	1	0	0	0
PHACTR3-AS1	0	0	0	0	0	0	0	0
SYCP2	43	79	80	102	58	63	71	83
FAM217B	701	751	790	968	730	492	723	755
PPP1R3D	450	644	483	560	379	380	406	406
CDH26	18	85	20	26	21	23	13	19
LINC02910	12	56	13	15	8	13	5	6
LOC729296	0	1	1	3	2	4	1	0
MIR646HG	7	10	18	16	8	12	15	9
MIR646	0	0	0	0	0	0	0	1
LOC101928048	0	0	0	0	0	0	0	0
MIR4533	0	0	0	0	0	0	0	0
MIR548AG2	0	0	0	0	0	0	0	0
LINC01718	0	0	0	0	0	0	0	0
CDH4	1	3	9	7	3	4	11	11
MIR1257	0	0	1	0	0	0	0	0
TAF4	724	696	736	928	906	918	852	933
LOC105372704	14	14	32	38	21	17	19	26
MIR3195	0	0	0	0	0	0	0	0
LSM14B	1409	1354	1123	1496	1541	1433	1218	1383
PSMA7	2891	3471	2225	3278	3057	4017	2358	2672
SS18L1	672	719	590	809	837	813	615	729
MTG2	578	700	523	715	638	751	619	623
HRH3	0	0	0	0	0	0	0	0
LOC105369209	0	0	0	0	0	0	1	0
OSBPL2	1130	1173	1011	1471	1191	1125	921	1198
ADRM1	1501	1873	1327	1757	1731	2340	1392	1633
LAMA5	74	164	221	230	90	181	275	236
MIR4758	0	0	0	0	0	0	0	0
LAMA5-AS1	0	1	0	1	1	2	7	1
RPS21	9289	6613	8926	13626	9775	7015	10601	9842
CABLES2	139	202	213	217	166	186	194	162
RBBP8NL	0	0	0	0	0	0	0	0
GATA5	0	1	0	0	0	0	0	0
CRMA	0	6	3	1	2	1	2	1
MIR1-1HG	0	0	0	0	0	0	0	0
MIR1-1	0	0	0	0	0	0	0	0
MIR133A2	0	0	0	0	0	0	0	0
SLCO4A1	1062	1502	1990	2279	629	759	1129	972
SLCO4A1-AS2	277	307	348	420	240	205	263	235
SLCO4A1-AS1	0	0	4	5	2	3	0	2
NTSR1	75	684	108	157	30	260	44	60
LINC00659	7	4	9	13	5	5	12	10
MRGBP	357	464	462	570	366	422	499	445
OGFR-AS1	2	4	1	3	1	4	0	0
OGFR	2311	3512	2580	3601	2073	3094	2231	2507
COL9A3	71	159	338	201	84	172	323	182
TCFL5	247	267	386	457	286	232	379	349
DPH3P1	2	1	1	1	0	1	0	1
DIDO1	2655	2771	3200	3650	2679	2912	3122	2924
GID8	1749	1886	1927	2256	1992	2048	1766	1822
SLC17A9	328	335	431	400	351	440	438	317
BHLHE23	0	0	0	0	1	0	0	0
LINC01749	0	0	0	0	0	0	0	0
LINC00029	0	0	0	0	0	0	0	0
LINC01056	0	0	0	0	0	0	0	0
HAR1B	4	2	2	4	3	0	1	5
HAR1A	23	13	24	39	31	22	23	39
MIR124-3	0	0	0	0	0	0	0	0
YTHDF1	1706	1703	1518	2017	1889	2146	1608	1753
BIRC7	8	14	12	2	14	9	12	11
MIR3196	0	0	0	0	0	0	0	0
NKAIN4	0	0	0	0	0	0	0	0
FLJ16779	0	1	0	0	1	0	0	0
ARFGAP1	2401	2659	2439	3291	2562	3108	2430	2604
MIR4326	4	0	0	4	3	3	0	1
COL20A1	0	0	0	0	0	0	0	0
CHRNA4	0	0	0	0	0	0	1	1
LOC100130587	0	2	0	1	0	0	0	1
KCNQ2	0	0	3	6	4	2	7	5
EEF1A2	21	26	16	30	21	28	18	45
PPDPF	675	919	1086	1682	817	1154	1155	1587
PTK6	5	4	10	9	5	5	4	6
SRMS	2	0	5	3	3	4	1	4
FNDC11	5	8	21	27	9	16	24	36
HELZ2	1342	1667	1723	2410	2115	2223	1874	2513
GMEB2	987	903	1135	1505	1241	1192	1135	1412
STMN3	1441	1168	2455	3674	1643	1339	2578	3053
RTEL1-TNFRSF6B	0	0	0	0	0	0	0	0
RTEL1	33	39	36	44	41	38	33	30
TNFRSF6B	0	0	0	0	1	0	1	1
ARFRP1	819	925	991	1178	899	987	989	1030
ZGPAT	1106	1282	1092	1604	1239	1575	1196	1225
LIME1	938	635	1064	1412	1295	750	1361	1371
SLC2A4RG	639	551	652	968	825	604	721	822
ZBTB46	40	114	47	71	82	188	91	71
ZBTB46-AS1	0	0	0	0	1	0	0	0
C20orf181	0	0	0	0	0	0	0	0
ABHD16B	2	0	1	4	3	8	1	2
TPD52L2	4485	5826	2827	4435	4290	6547	2730	3415
DNAJC5	5141	6329	4333	5737	5241	6952	4716	4925
MIR941-1	0	0	0	0	0	0	0	0
MIR941-2	0	0	0	0	0	0	0	0
MIR941-3	0	0	0	0	0	0	0	0
MIR941-4	0	0	0	0	0	0	0	0
MIR941-5	0	0	0	0	0	0	0	0
UCKL1	816	989	1473	1481	871	1072	1261	1105
MIR1914	17	23	28	29	15	10	18	25
MIR647	0	0	0	0	0	0	0	0
UCKL1-AS1	3	2	4	7	7	6	6	6
ZNF512B	382	345	497	571	464	389	579	477
SAMD10	54	58	294	113	101	125	530	107
PRPF6	2288	2286	3713	3306	2435	2132	3944	2590
C20orf204	15	20	293	34	14	16	354	21
TCEA2	114	103	194	198	140	143	245	187
SOX18	2	0	3	1	0	1	6	0
RGS19	1876	3889	1824	2418	1437	2662	1671	1659
MIR6813	5	6	3	4	4	2	5	3
OPRL1	60	136	101	120	57	80	96	81
LKAAEAR1	0	2	4	5	0	0	0	4
NPBWR2	0	0	2	0	0	1	0	0
MYT1	8	14	50	39	10	19	40	16
PCMTD2	1560	1145	1902	2132	1932	1170	2058	1854
LOC102723996	657	1951	990	1538	816	2154	1027	1342
LOC102724023	102	71	107	127	82	76	108	103
LOC102724159	178	100	180	263	186	127	205	237
LOC102724200	253	188	243	283	294	189	272	241
LOC102724219	28	27	0	4	33	24	0	3
LOC102724334	0	0	0	0	0	0	1	0
CH507-42P11.6	0	0	0	0	0	0	0	0
LOC102724428	1794	1274	2454	3809	2194	1367	2704	3208
LOC102724560	1	2	1	2	0	8	0	4
LOC102724594	754	854	664	1013	842	1125	738	843
LOC102724652	0	0	0	0	0	0	0	0
MIR8069-1	0	0	0	0	0	0	0	0
LOC102724843	10	7	0	1	5	3	0	0
LOC102724951	6	5	0	3	7	8	1	2
LOC102723360	2	0	0	0	0	0	0	0
LOC102723553	14	14	13	27	13	8	18	20
LOC102723451	0	0	0	0	0	0	0	0
LOC102723475	9	25	4	17	2	2	2	2
MIR6724-1	0	0	0	0	0	0	0	0
MIR3648-1	0	0	1	3	1	0	2	0
MIR6724-2	0	0	0	0	0	0	0	0
MIR6724-3	0	0	0	0	0	0	0	0
MIR6724-4	0	0	0	0	0	0	0	0
MIR3648-2	1	1	3	14	5	2	3	5
CDRT15P9	0	0	0	0	0	0	0	0
TEKT4P2	82	28	33	110	98	34	56	86
LOC101927345	0	0	1	0	0	0	0	0
LINC01667	0	0	0	0	0	0	0	0
BAGE2	3	7	3	8	4	8	9	4
TPTE	3	1	3	5	2	4	3	4
ANKRD30BP2	0	0	0	0	0	0	0	0
MIR3156-3	0	0	0	0	0	0	0	0
LINC01674	0	0	0	0	0	0	0	0
POTED	0	0	0	0	0	0	0	0
MIR3118-1	0	0	0	0	0	0	0	0
MIR8069	0	0	0	0	0	0	0	0
CYP4F29P	21	11	2	27	15	15	6	24
ANKRD20A11P	1	0	0	2	1	1	1	0
LIPI	0	0	0	0	0	0	0	0
RBM11	37	21	49	85	50	25	38	90
ABCC13	0	0	0	0	0	1	0	0
HSPA13	1239	1196	999	1438	1923	1563	1114	1296
SAMSN1	10230	10490	5033	8866	8341	8529	3762	5661
SAMSN1-AS1	4	2	10	10	5	3	4	6
NRIP1	2011	2579	1439	1835	2400	3132	1689	1772
USP25	1260	1297	1203	1576	1390	1342	1348	1307
MIR99AHG	1	3	0	4	3	0	3	1
MIR99A	0	0	0	0	0	0	0	0
MIRLET7C	0	0	0	1	0	0	0	0
MIR125B2	0	0	0	0	0	0	0	0
LINC01549	0	0	0	0	0	0	0	0
TRG-GCC1-5	0	0	0	1	0	0	0	0
CXADR	11	8	7	13	11	6	11	9
BTG3	242	235	198	260	644	790	287	385
C21orf91-OT1	0	0	0	1	0	0	0	1
C21orf91	877	684	763	882	1399	830	927	884
CHODL	3	2	2	3	2	2	1	1
CHODL-AS1	0	0	0	0	0	0	0	0
TMPRSS15	0	0	0	0	0	0	0	0
MIR548XHG	0	0	0	0	0	0	0	0
MIR548X	0	0	0	0	0	0	0	0
LINC00320	0	0	0	0	0	0	0	0
NCAM2	1	0	0	0	0	0	0	1
LINC00317	0	0	0	0	0	0	0	0
LINC01425	0	0	0	0	0	0	0	0
LINC01687	0	0	0	0	0	0	0	0
LINC00308	0	0	0	0	0	0	0	0
MIR6130	0	0	0	0	0	0	0	0
D21S2088E	0	0	0	0	0	0	0	0
LINC01689	0	0	0	0	0	0	0	0
LINC01692	0	0	0	0	0	0	0	0
LINC00158	0	0	1	0	0	0	2	2
MIR155HG	78	74	59	84	97	112	72	63
MIR155	0	0	0	0	0	0	0	0
LINC00515	2	0	1	2	1	0	1	1
MRPL39	332	309	360	412	401	282	325	332
JAM2	1	1	1	10	7	4	0	6
ATP5PF	843	877	775	1091	878	929	776	768
GABPA	823	742	606	857	1025	777	745	725
APP	2538	2395	1513	2604	2327	1999	1431	2230
CYYR1-AS1	0	0	0	0	0	0	0	0
CYYR1	16	8	4	9	18	8	8	10
ADAMTS1	57	24	77	55	20	6	49	25
ADAMTS5	3	0	1	0	0	0	0	2
MIR4759	0	0	0	0	0	0	0	0
LINC00113	0	0	0	0	0	0	0	0
LINC00314	0	0	0	0	0	0	0	0
LINC01697	0	0	0	0	0	0	0	0
LINC01695	0	0	0	0	0	0	0	0
LINC00161	0	0	0	0	0	0	0	0
N6AMT1	61	50	94	99	85	67	90	79
LTN1	1383	1412	1172	1561	1528	1493	1185	1336
RWDD2B	106	96	123	127	125	108	118	106
USP16	1635	1629	1534	2073	1839	1903	1509	1897
CCT8	2416	2817	3032	3177	2590	3253	2923	2646
MAP3K7CL	414	847	285	897	480	994	322	759
LINC00189	8	5	1	1	15	7	3	7
BACH1	2838	3194	2185	2909	4673	5617	2907	4024
BACH1-IT2	3	6	1	2	2	5	1	3
GRIK1	0	0	0	0	0	0	0	0
GRIK1-AS2	9	2	11	15	10	7	11	20
GRIK1-AS1	1	2	1	0	0	0	8	0
CLDN17	0	0	0	0	0	0	0	0
LINC00307	0	0	0	0	0	0	0	0
CLDN8	0	0	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0	0	0
KRTAP25-1	0	0	0	0	0	0	0	0
KRTAP26-1	0	0	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0	0	0
KRTAP23-1	0	0	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0	0	0
MIR4327	0	0	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0	0	0
KRTAP13-4	0	0	0	0	0	0	0	0
KRTAP15-1	0	0	0	0	0	0	0	0
KRTAP19-1	0	0	0	0	0	0	0	0
KRTAP19-2	0	0	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0	0	0
KRTAP19-4	0	0	0	0	0	0	0	0
