tissue	disease	cell_line	pert_dose	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	batch
ovary	ovarian carcinoma	COV644	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_COV644_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_COV644_6H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A549_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_A549_6H
lung	lung cancer	DV90	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_DV90_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_DV90_6H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A375_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_A375_6H
ovary	ovarian carcinoma	COV644	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_COV644_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_COV644_6H
lung	lung cancer	H1299	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_H1299_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_H1299_6H
large intestine	colon adenocarcinoma	CL34	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_CL34_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_CL34_6H
skin of body	melanoma	A375	10 uM	dexamethasone	24 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A375_24H_F09_dexamethasone_10uM.tsv.gz	CPC006_A375_24H
lung	lung cancer	A549	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A549_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_A549_24H
muscle organ	ewing's sarcoma	A673	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A673_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_A673_6H
skin of body	melanoma	A375	10 uM	dexamethasone	24 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A375_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_A375_24H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A375_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_A375_6H
lung	lung cancer	DV90	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_DV90_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_DV90_6H
lung	lung cancer	CORL23	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_CORL23_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_CORL23_6H
ovary	ovarian carcinoma	EFO27	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_EFO27_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_EFO27_6H
lung	lung cancer	A549	10 uM	dexamethasone	48 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_48H_E07_dexamethasone_10uM.tsv.gz	LKCP002_A549_48H
lung	lung cancer	H1299	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_H1299_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_H1299_6H
lung	lung cancer	CORL23	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_CORL23_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_CORL23_6H
large intestine	colon adenocarcinoma	CL34	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_CL34_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_CL34_6H
lung	lung cancer	A549	1.11 uM	dexamethasone	48 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_48H_E08_dexamethasone_1.11uM.tsv.gz	LKCP002_A549_48H
lung	lung cancer	A549	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_24H_E08_dexamethasone_1.11uM.tsv.gz	LKCP002_A549_24H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_6H_E07_dexamethasone_10uM.tsv.gz	LKCP002_A549_6H
lung	lung cancer	A549	1.11 uM	dexamethasone	6 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_6H_E08_dexamethasone_1.11uM.tsv.gz	LKCP002_A549_6H
lung	lung cancer	A549	0.12 uM	dexamethasone	6 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_6H_E09_dexamethasone_0.12uM.tsv.gz	LKCP002_A549_6H
liver		PHH	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_PHH_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_PHH_24H
lung	lung cancer	A549	0.12 uM	dexamethasone	48 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_48H_E09_dexamethasone_0.12uM.tsv.gz	LKCP002_A549_48H
lung	lung cancer	A549	0.12 uM	dexamethasone	24 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_24H_E09_dexamethasone_0.12uM.tsv.gz	LKCP002_A549_24H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_HT29_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_HT29_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_PC3_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_PC3_24H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_A375_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_A375_6H
lung	lung cancer	A549	10 uM	dexamethasone	24 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_LKCP002_A549_24H_E07_dexamethasone_10uM.tsv.gz	LKCP002_A549_24H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_VCAP_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_VCAP_24H
lung	lung cancer	A549	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_A549_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_A549_24H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_A549_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_A549_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_PC3_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_PC3_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_MCF7_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_MCF7_24H
skeletal muscle organ		SKB	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_SKB_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_SKB_24H
kidney		HA1E	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_HA1E_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_HA1E_6H
central nervous system		NEU	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_NEU_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_NEU_24H
lung	lung cancer	HCC515	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_HCC515_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_HCC515_6H
breast	breast adenocarcinoma	MDAMB231	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MDAMB231_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_MDAMB231_24H
connective tissue		NPC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_NPC_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_NPC_24H
adipose tissue		ASC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_ASC_24H_H21_dexamethasone_10uM.tsv.gz	CPC014_ASC_24H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_MCF7_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_MCF7_6H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_HEPG2_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_HEPG2_6H
breast	breast adenocarcinoma	MCF7	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF7_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_MCF7_24H
skin of body	melanoma	A375	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A375_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_A375_24H
breast	breast adenocarcinoma	MCF7	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF7_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_MCF7_24H
uterine cervix	cervical adenocarcinoma	HELA	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HELA_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_HELA_24H
blood	leukemia	JURKAT	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_JURKAT_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_JURKAT_24H
kidney		HEK293	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HEK293_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_HEK293_24H
lung	lung cancer	A549	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A549_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_A549_24H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_HEPG2_6H_C04_dexamethasone_10uM.tsv.gz	CPC015_HEPG2_6H
lung	lung cancer	A549	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_A549_24H_C04_dexamethasone_10uM.tsv.gz	CPC015_A549_24H
kidney		HEK293	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HEK293_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_HEK293_24H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	6 h	Chemical	5	2021-05-14	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC014_VCAP_6H_H21_dexamethasone_10uM.tsv.gz	CPC014_VCAP_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF7_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_MCF7_24H
kidney		HA1E	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HA1E_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_HA1E_24H
breast	breast adenocarcinoma	MDAMB231	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MDAMB231_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_MDAMB231_24H
blood	leukemia	JURKAT	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_JURKAT_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_JURKAT_24H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_A549_6H_C04_dexamethasone_10uM.tsv.gz	CPC015_A549_6H
lung	lung cancer	A549	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A549_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_A549_24H
breast	breast adenocarcinoma	MDAMB231	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MDAMB231_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_MDAMB231_24H
lung	lung cancer	A549	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A549_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_A549_24H
breast	breast carcinoma	MCF10A	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF10A_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_MCF10A_24H
kidney		HA1E	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HA1E_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_HA1E_24H
uterine cervix	cervical adenocarcinoma	HELA	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HELA_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_HELA_24H
breast	breast carcinoma	MCF10A	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF10A_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_MCF10A_24H
intestine	colon adenocarcinoma	HT29	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HT29_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_HT29_24H
kidney		HEK293	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HEK293_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_HEK293_24H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_A375_6H_C04_dexamethasone_10uM.tsv.gz	CPC015_A375_6H
skin of body	melanoma	A375	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A375_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_A375_24H
skin of body	melanoma	A375	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A375_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_A375_24H
kidney		HEK293	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HEK293_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_HEK293_24H
lung	lung cancer	A549	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A549_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_A549_24H
skin of body	melanoma	A375	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A375_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_A375_24H
uterine cervix	cervical adenocarcinoma	HELA	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HELA_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_HELA_24H
uterine cervix	cervical adenocarcinoma	HELA	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HELA_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_HELA_24H
blood	leukemia	JURKAT	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_JURKAT_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_JURKAT_24H
intestine	colon adenocarcinoma	HT29	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HT29_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_HT29_24H
lung	lung cancer	A549	10 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_A549_24H_N01_dexamethasone_10uM.tsv.gz	REP.A016_A549_24H
kidney		HA1E	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HA1E_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_HA1E_24H
uterine cervix	cervical adenocarcinoma	HELA	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HELA_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_HELA_24H
breast	breast adenocarcinoma	MCF7	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF7_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_MCF7_24H
breast	breast carcinoma	MCF10A	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF10A_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_MCF10A_24H
intestine	colon adenocarcinoma	HT29	0.04 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HT29_24H_N06_dexamethasone_0.04uM.tsv.gz	REP.A016_HT29_24H
breast	breast adenocarcinoma	MCF7	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF7_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_MCF7_24H
breast	breast carcinoma	MCF10A	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MCF10A_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_MCF10A_24H
breast	breast adenocarcinoma	MDAMB231	0.37 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MDAMB231_24H_N04_dexamethasone_0.37uM.tsv.gz	REP.A016_MDAMB231_24H
kidney		HA1E	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HA1E_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_HA1E_24H
breast	breast adenocarcinoma	MDAMB231	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MDAMB231_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_MDAMB231_24H
kidney		HA1E	3.33 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HA1E_24H_N02_dexamethasone_3.33uM.tsv.gz	REP.A016_HA1E_24H
intestine	colon adenocarcinoma	HT29	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_HT29_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_HT29_24H
breast	breast adenocarcinoma	MDAMB231	1.11 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_MDAMB231_24H_N03_dexamethasone_1.11uM.tsv.gz	REP.A016_MDAMB231_24H
blood	leukemia	JURKAT	0.125 uM	dexamethasone	24 h	Chemical	5	2021-05-22	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_REP.A016_JURKAT_24H_N05_dexamethasone_0.125uM.tsv.gz	REP.A016_JURKAT_24H
