GENE_NAME	GSM4217259	GSM4217258	GSM4217257	GSM4217256	GSM4217251	GSM4217250	GSM4217253	GSM4217252	GSM4217255	GSM4217254	GSM4217261	GSM4217260
SELENBP1	ENSMUSG00000068874	1.08	2.00	2.52	2.40	1.54	2.36	1.00	3.03	2.50	1.71	0.27	0.80
CGN	ENSMUSG00000068876	0.09	0.08	0.06	0.15	0.05	0.00	0.13	0.06	0.04	0.00	0.11	0.00
SELENBP2	ENSMUSG00000068877	0.00	0.10	0.04	0.00	0.00	0.00	0.00	0.02	0.11	0.00	0.00	0.00
GM5773	ENSMUSG00000068879	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SSB	ENSMUSG00000068882	117.31	127.95	114.84	117.54	133.40	165.29	120.06	137.70	145.73	130.24	123.21	141.06
LCE3F	ENSMUSG00000068885	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LCE1J	ENSMUSG00000068887	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LCE1I	ENSMUSG00000068888	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LCE1E	ENSMUSG00000068889	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LCE1A2	ENSMUSG00000068890	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPRR2A2	ENSMUSG00000068893	0.01	0.00	0.04	0.01	0.01	0.00	0.04	0.00	0.05	0.01	0.09	0.00
CLK2	ENSMUSG00000068917	30.22	32.55	29.72	31.06	34.78	41.09	21.52	29.53	28.14	32.01	27.03	27.71
DAP3	ENSMUSG00000068921	64.01	65.21	73.84	62.11	63.89	62.71	59.25	65.18	73.94	72.35	74.51	79.93
MSTO1	ENSMUSG00000068922	7.07	8.19	9.75	10.59	9.37	11.47	5.71	6.83	8.24	11.25	11.16	12.93
SYT11	ENSMUSG00000068923	2.36	1.72	2.46	2.58	4.34	3.08	2.94	2.88	1.38	1.78	1.81	1.29
TCL1B3	ENSMUSG00000068940	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR366	ENSMUSG00000068947	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR363-PS	ENSMUSG00000068948	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR338	ENSMUSG00000068950	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
4930589L23RIK	ENSMUSG00000068957	0.00	0.00	0.00	0.00	0.00	0.07	0.05	0.02	0.00	0.00	0.00	0.03
ZFP619	ENSMUSG00000068959	0.87	0.85	0.82	0.80	1.42	1.72	0.42	0.48	0.38	0.28	0.45	0.43
ZFP114	ENSMUSG00000068962	0.00	0.04	0.04	0.00	0.10	0.03	0.00	0.11	0.01	0.06	0.00	0.00
GM6361	ENSMUSG00000068964	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ZBTB34	ENSMUSG00000068966	6.64	6.45	3.86	6.56	7.87	6.39	4.36	6.29	4.88	5.40	5.15	5.55
RPL32-PS	ENSMUSG00000068969	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
VMN2R5	ENSMUSG00000068999	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM5537	ENSMUSG00000069008	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10254	ENSMUSG00000069011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.34	0.00	0.00	0.09
GM5641	ENSMUSG00000069014	96.52	119.96	119.76	102.17	96.70	109.38	120.66	74.62	159.64	163.31	178.56	146.00
URM1	ENSMUSG00000069020	14.96	14.72	17.52	12.69	14.49	9.58	19.44	13.56	15.19	19.94	21.37	15.37
SRY	ENSMUSG00000069036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM4906	ENSMUSG00000069038	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SLC25A31	ENSMUSG00000069041	0.00	0.02	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.03
USP9Y	ENSMUSG00000069044	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
DDX3Y	ENSMUSG00000069045	0.58	0.99	0.78	0.63	1.96	2.07	35.25	26.80	1.17	0.54	0.24	0.61
EIF2S3Y	ENSMUSG00000069049	2.35	2.70	2.11	1.99	5.89	5.28	80.13	67.81	2.92	1.48	0.68	1.47
UBA1Y	ENSMUSG00000069053	0.59	0.43	0.54	0.39	0.72	0.51	0.65	0.66	0.32	0.22	0.39	0.35
SLC7A14	ENSMUSG00000069072	2.01	1.93	1.49	1.67	2.33	2.35	2.19	2.11	1.27	1.46	1.28	1.34
GM10258	ENSMUSG00000069074	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
LCN11	ENSMUSG00000069080	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10259	ENSMUSG00000069083	0.00	0.00	7.08	6.02	0.39	0.00	0.00	0.05	0.00	0.00	0.00	0.00
DYTN	ENSMUSG00000069085	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
CDK7	ENSMUSG00000069089	6.21	7.37	5.74	6.46	6.66	6.96	5.76	7.99	5.85	5.90	4.90	6.85
PDE7A	ENSMUSG00000069094	255.49	142.58	228.35	129.53	247.58	94.92	299.77	113.97	163.70	100.73	107.74	89.76
ZBTB10	ENSMUSG00000069114	0.08	0.04	0.07	0.07	0.14	0.19	0.07	0.32	0.07	0.03	0.05	0.04
GM10260	ENSMUSG00000069117	426.22	454.87	516.59	560.74	0.02	0.00	0.00	0.00	0.00	0.00	0.07	0.00
1700008P02RIK	ENSMUSG00000069118	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
RPS24-PS2	ENSMUSG00000069125	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00
NXPH2	ENSMUSG00000069132	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.01	0.01	0.01	0.02	0.02
FGFR1OP	ENSMUSG00000069135	22.82	27.32	22.48	25.14	24.50	28.68	21.33	27.67	20.12	23.78	21.17	28.48
A130006I12RIK	ENSMUSG00000069136	1.37	0.55	0.27	0.41	0.93	0.68	0.77	0.84	0.42	0.88	1.42	0.50
GPR98	ENSMUSG00000069170	0.59	0.21	0.47	0.31	0.32	0.45	0.92	0.19	0.18	0.22	0.41	0.17
NR2F1	ENSMUSG00000069171	0.02	0.00	0.02	0.00	0.02	0.00	0.00	0.01	0.02	0.00	0.05	0.00
ZFP72	ENSMUSG00000069184	0.73	0.60	0.76	0.39	1.54	1.75	0.30	1.36	1.32	0.71	0.23	1.15
GM13192	ENSMUSG00000069188	0.00	0.00	0.00	0.00	3.80	2.53	0.00	0.00	0.00	0.93	0.00	0.00
ZDHHC11	ENSMUSG00000069189	0.00	0.02	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
GM10161	ENSMUSG00000069196	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ZFP874A	ENSMUSG00000069206	3.85	3.58	2.42	1.78	4.18	3.95	2.10	3.37	3.41	2.10	2.44	3.55
ZFP825	ENSMUSG00000069208	17.93	17.98	12.53	12.02	22.75	22.17	18.28	21.85	21.88	16.12	7.76	14.49
4930451E10RIK	ENSMUSG00000069223	1.45	0.41	0.47	0.76	0.50	0.00	0.31	0.63	0.56	0.34	0.12	0.20
GPRIN1	ENSMUSG00000069227	0.00	0.00	0.01	0.00	0.00	0.00	0.03	0.00	0.02	0.01	0.01	0.00
GM7251	ENSMUSG00000069236	0.06	0.08	0.07	0.00	0.11	0.09	0.00	0.17	0.00	0.00	0.00	0.09
C78339	ENSMUSG00000069237	14.98	16.69	12.06	10.17	12.93	11.36	11.55	11.83	13.51	12.03	9.89	15.16
SERPINB6E	ENSMUSG00000069248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DUSP22	ENSMUSG00000069255	9.62	8.16	2.07	2.95	2.83	4.74	5.34	4.65	4.79	6.15	2.31	4.07
PRL2B1	ENSMUSG00000069258	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PRL6A1	ENSMUSG00000069259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HIST1H3A	ENSMUSG00000069265	480.73	340.03	428.41	381.29	331.79	343.80	521.63	386.46	500.97	548.11	425.60	318.78
HIST1H4B	ENSMUSG00000069266	488.41	357.71	482.80	380.43	421.38	414.11	379.08	408.44	553.14	500.76	316.15	291.30
HIST1H3B	ENSMUSG00000069267	881.15	534.49	814.50	696.44	597.58	610.68	648.57	583.34	798.76	754.69	564.72	426.95
HIST1H2BF	ENSMUSG00000069268	1064.05	638.31	785.25	544.19	807.87	716.78	802.50	694.81	1031.01	987.14	694.37	451.87
HIST1H2AC	ENSMUSG00000069270	32.19	20.40	31.48	29.71	21.44	24.90	28.69	19.52	33.95	29.77	19.46	14.26
HIST1H2AE	ENSMUSG00000069272	147.28	74.27	74.36	92.56	77.86	90.77	93.22	84.21	117.98	109.43	75.25	60.94
HIST1H3E	ENSMUSG00000069273	375.55	273.96	334.84	278.84	412.89	427.53	314.02	352.90	517.68	553.25	261.12	253.71
HIST1H4F	ENSMUSG00000069274	2299.67	1488.36	2137.97	1659.00	1481.85	1301.99	1785.69	1449.80	2264.43	2452.20	1792.70	1318.07
GM10264	ENSMUSG00000069276	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VMN1R223	ENSMUSG00000069280	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
VMN1R203	ENSMUSG00000069289	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
VMN1R199	ENSMUSG00000069292	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VMN1R197	ENSMUSG00000069294	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
VMN1R196	ENSMUSG00000069295	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VMN1R195	ENSMUSG00000069296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
VMN1R194	ENSMUSG00000069297	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
VMN1R188	ENSMUSG00000069299	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HIST1H2BJ	ENSMUSG00000069300	863.73	552.00	859.00	676.43	567.35	562.34	563.97	524.62	785.52	791.68	515.75	419.82
HIST1H2AG	ENSMUSG00000069301	375.75	217.45	252.57	322.11	194.56	233.74	312.29	219.81	359.77	322.61	246.69	154.22
HIST1H2AH	ENSMUSG00000069302	225.94	144.02	211.52	216.26	122.82	155.60	164.52	133.09	170.45	199.00	120.83	97.64
HIST1H2BR	ENSMUSG00000069303	216.97	146.94	231.87	196.72	134.18	130.01	153.89	125.32	225.43	248.96	166.91	122.77
HIST1H4N	ENSMUSG00000069305	2451.75	1457.73	2424.94	1972.11	1012.95	947.91	1004.20	948.40	1388.32	1318.75	1403.50	1201.09
HIST1H4M	ENSMUSG00000069306	38.60	36.56	49.81	22.09	802.48	700.91	755.76	672.93	957.17	947.76	11.89	27.25
HIST1H2BQ	ENSMUSG00000069307	0.73	0.89	0.67	0.87	1.44	1.92	0.93	0.93	1.48	0.89	0.42	0.23
HIST1H2BP	ENSMUSG00000069308	820.40	481.49	943.08	689.75	482.49	453.70	532.71	418.49	720.38	759.19	478.30	319.26
HIST1H2AN	ENSMUSG00000069309	245.07	115.24	185.32	228.03	114.45	139.96	279.88	147.59	186.75	203.94	135.77	75.95
HIST1H3C	ENSMUSG00000069310	747.83	518.54	712.59	671.74	521.85	498.46	633.19	565.19	769.52	787.88	523.05	427.60
GM7731	ENSMUSG00000069315	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM5096	ENSMUSG00000069324	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM5152	ENSMUSG00000069355	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CTXN3	ENSMUSG00000069372	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
GM5507	ENSMUSG00000069376	0.00	0.00	0.04	0.00	0.00	0.10	0.00	0.03	0.04	0.03	0.06	0.05
PRDM6	ENSMUSG00000069378	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM4950	ENSMUSG00000069379	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10267	ENSMUSG00000069385	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR707	ENSMUSG00000069390	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR810	ENSMUSG00000069421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR9	ENSMUSG00000069430	0.37	0.37	0.25	0.32	0.12	0.27	0.56	0.21	0.34	0.25	0.66	0.20
GM8444	ENSMUSG00000069439	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.03	0.00	0.00	0.00	0.00
DSG1A	ENSMUSG00000069441	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
RDH16	ENSMUSG00000069456	1.99	2.38	1.26	1.39	1.87	1.48	1.25	1.96	0.85	0.91	0.53	1.33
GM6020	ENSMUSG00000069475	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ZFP616	ENSMUSG00000069476	0.03	0.01	0.02	0.00	0.16	0.06	0.00	0.01	0.05	0.05	0.02	0.00
EPC2	ENSMUSG00000069495	23.01	22.68	20.18	18.13	26.38	19.25	29.11	20.05	19.45	16.67	19.06	19.99
LYZ1	ENSMUSG00000069515	0.00	0.09	0.06	0.04	0.24	0.15	0.11	0.09	0.06	0.07	0.00	0.04
LYZ2	ENSMUSG00000069516	107.78	195.45	97.90	107.26	261.82	486.50	37.33	203.49	116.24	68.52	26.74	109.83
GM10271	ENSMUSG00000069518	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TMEM19	ENSMUSG00000069520	9.71	7.17	9.45	6.04	11.28	5.72	9.53	5.57	8.99	7.04	8.20	7.18
SCYL2	ENSMUSG00000069539	20.15	20.50	16.08	15.02	16.40	17.06	13.77	19.42	16.11	15.84	13.01	18.04
GM4925	ENSMUSG00000069540	0.61	0.20	0.28	0.41	0.37	0.29	0.79	0.31	0.63	0.34	0.24	1.07
I830134H01RIK	ENSMUSG00000069554	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.00
DAZAP1	ENSMUSG00000069565	55.24	53.79	58.17	66.57	65.57	70.71	67.76	66.64	71.36	82.40	72.93	58.52
TSPEAR	ENSMUSG00000069581	0.00	0.05	0.00	0.00	0.00	0.04	0.11	0.01	0.18	0.03	0.00	0.00
KRTAP10-4	ENSMUSG00000069582	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00
KRTAP12-1	ENSMUSG00000069583	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10272	ENSMUSG00000069584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM11733	ENSMUSG00000069588	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.04
ANK3	ENSMUSG00000069601	0.32	0.22	0.27	0.02	0.54	0.36	0.48	0.10	0.09	0.11	0.15	0.05
CD300LH	ENSMUSG00000069607	0.48	0.09	0.37	0.18	0.57	0.09	0.31	0.41	0.38	0.00	0.14	0.09
GM11710	ENSMUSG00000069609	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00
GM5250	ENSMUSG00000069620	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10273	ENSMUSG00000069622	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.06	0.00	0.27	0.00	0.00
STRADA	ENSMUSG00000069631	10.71	11.75	14.25	13.60	15.32	16.75	10.52	12.96	12.76	11.80	12.44	11.03
PEX11G	ENSMUSG00000069633	4.15	3.50	3.41	3.21	4.09	4.03	4.34	2.96	2.89	3.68	2.96	1.62
MARCKS	ENSMUSG00000069662	40.53	53.33	24.30	39.36	64.01	63.29	65.12	74.63	65.41	73.15	74.31	67.95
SULT3A1	ENSMUSG00000069668	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NKAIN2	ENSMUSG00000069670	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PCGF1	ENSMUSG00000069678	9.79	10.52	10.18	11.92	7.11	9.48	10.99	8.51	10.67	12.80	14.56	12.49
GM10275	ENSMUSG00000069682	1649.97	1744.89	1720.38	1814.70	1710.11	1894.54	2044.89	1556.19	2248.99	2228.05	2874.51	2377.06
TAAR5	ENSMUSG00000069706	0.00	0.00	0.07	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
TAAR4	ENSMUSG00000069707	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.04	0.00	0.00	0.00
TAAR3	ENSMUSG00000069708	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
4930444G20RIK	ENSMUSG00000069712	0.36	0.61	0.45	0.68	0.51	0.34	0.60	0.60	0.30	0.24	0.22	0.24
4933406P04RIK	ENSMUSG00000069713	1.00	0.93	0.67	1.35	0.64	1.33	1.41	1.27	1.28	1.27	1.99	1.40
GM11568	ENSMUSG00000069717	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM11563	ENSMUSG00000069718	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4930572O03RIK	ENSMUSG00000069720	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
KRTAP3-2	ENSMUSG00000069721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
KRTAP3-3	ENSMUSG00000069722	0.08	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM5595	ENSMUSG00000069727	0.13	0.17	0.17	0.21	1.92	1.09	0.07	0.24	0.14	0.13	0.68	1.96
ARID1B	ENSMUSG00000069729	25.00	20.28	13.58	15.11	25.86	19.41	19.73	21.13	14.40	14.30	3.36	2.89
UBE2U	ENSMUSG00000069733	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ZFP820	ENSMUSG00000069743	0.36	0.45	0.20	0.16	0.23	0.22	0.23	0.19	0.54	0.42	1.76	2.79
PSMB3	ENSMUSG00000069744	115.96	103.89	153.00	119.13	129.13	128.97	152.18	110.00	168.85	176.27	145.99	120.82
ZFP125	ENSMUSG00000069755	3.98	3.44	2.58	3.00	3.52	2.84	2.43	3.47	1.66	1.86	1.15	3.92
TMEM100	ENSMUSG00000069763	0.00	0.00	0.02	0.03	0.00	0.00	0.00	0.02	0.00	0.02	0.03	0.00
MSI2	ENSMUSG00000069769	62.49	63.33	52.12	64.00	89.07	83.02	68.72	70.48	54.26	55.80	60.14	47.65
GM11444	ENSMUSG00000069785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00
WFDC17	ENSMUSG00000069792	0.90	1.21	1.14	0.40	1.57	0.66	1.50	2.31	0.99	0.50	1.59	1.75
SLFN9	ENSMUSG00000069793	37.79	27.94	13.22	12.80	28.54	23.66	23.16	26.24	27.42	19.57	22.22	30.26
GM11426	ENSMUSG00000069796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10277	ENSMUSG00000069804	1.15	0.74	0.78	0.65	1.08	0.94	0.33	1.33	0.53	0.40	0.68	0.53
FBP1	ENSMUSG00000069805	28.32	36.31	71.47	88.59	110.57	127.07	115.08	79.60	39.59	45.61	81.66	47.62
CACNG7	ENSMUSG00000069806	0.02	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.00	0.00
FAM57A	ENSMUSG00000069808	1.80	1.29	2.15	1.09	1.34	2.52	1.57	1.48	1.03	1.65	0.56	1.47
E130309D14RIK	ENSMUSG00000069814	0.01	0.00	0.02	0.00	0.02	0.02	0.00	0.07	0.01	0.00	0.00	0.01
OLFR23	ENSMUSG00000069816	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR390	ENSMUSG00000069818	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
OLFR1	ENSMUSG00000069823	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.06	0.00
OLFR377-PS1	ENSMUSG00000069824	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00
SPATA22	ENSMUSG00000069825	0.04	0.04	0.03	0.05	0.00	0.02	0.06	0.01	0.00	0.03	0.03	0.00
NLRP1A	ENSMUSG00000069830	0.13	0.24	0.08	0.05	0.84	0.72	0.02	0.13	0.51	0.23	0.00	0.03
AHNAK	ENSMUSG00000069833	11.28	10.18	4.98	2.85	28.43	21.51	7.20	8.91	45.80	44.47	15.39	19.13
SAT2	ENSMUSG00000069835	0.07	0.03	0.00	0.00	0.07	0.10	0.00	0.02	0.05	0.04	0.00	0.00
SCO1	ENSMUSG00000069844	5.85	7.48	5.05	6.64	6.88	7.32	7.64	6.93	5.84	7.22	6.52	6.47
SLC47A2	ENSMUSG00000069855	0.99	0.19	0.36	0.02	0.72	0.14	1.34	0.14	1.19	0.66	0.26	0.14
RPS12-PS9	ENSMUSG00000069862	1.51	1.79	1.65	1.31	2.77	0.00	3.64	2.81	3.59	4.54	1.81	2.23
PABPN1L	ENSMUSG00000069867	0.00	0.03	0.00	0.05	0.09	0.00	0.00	0.05	0.00	0.00	0.00	0.00
4930438A08RIK	ENSMUSG00000069873	1.20	1.13	1.08	0.85	2.08	3.75	0.52	1.66	0.76	0.96	0.53	1.16
IRGM2	ENSMUSG00000069874	5.53	5.63	3.90	3.68	4.39	5.10	2.36	6.37	4.26	4.02	1.89	3.95
1700024J04RIK	ENSMUSG00000069890	0.03	0.00	0.04	0.06	0.00	0.00	0.00	0.01	0.02	0.00	0.03	0.00
9930111J21RIK2	ENSMUSG00000069892	20.83	17.36	15.24	13.84	26.32	20.05	19.29	21.35	12.25	9.29	20.49	21.26
9930111J21RIK1	ENSMUSG00000069893	1.42	0.88	0.45	0.50	2.00	1.80	1.83	2.21	1.45	1.31	7.57	6.59
ATXN1L	ENSMUSG00000069895	10.00	8.95	7.75	7.34	9.51	8.21	10.84	8.63	8.73	8.88	9.44	7.90
GM12166	ENSMUSG00000069899	0.74	0.19	0.21	0.17	0.13	0.09	0.20	0.19	0.00	0.07	0.58	0.33
SPDL1	ENSMUSG00000069910	28.10	19.43	22.74	17.38	29.73	22.27	22.93	20.20	23.74	21.06	10.80	13.23
FAM196B	ENSMUSG00000069911	8.74	8.98	6.34	8.17	10.00	7.53	4.27	8.44	3.01	3.11	2.30	4.77
ANP32-PS	ENSMUSG00000069913	0.00	0.12	0.15	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00
HBA-A2	ENSMUSG00000069917	2.76	1.56	9.71	15.42	28.41	102.10	49.33	359.65	4.07	2.59	4.59	1.85
HBA-A1	ENSMUSG00000069919	0.81	0.97	9.95	9.15	22.10	67.43	36.21	269.37	3.97	3.98	4.59	1.42
B3GNT9	ENSMUSG00000069920	1.35	1.67	2.04	2.02	1.42	1.54	1.03	1.63	1.41	1.20	1.10	1.13
CES3A	ENSMUSG00000069922	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4932416K20RIK	ENSMUSG00000069925	0.00	0.01	0.05	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM12070	ENSMUSG00000069939	0.36	0.43	0.28	0.00	1.14	1.75	0.00	0.75	0.76	0.54	0.00	0.32
GM5356	ENSMUSG00000069962	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4933402J07RIK	ENSMUSG00000069971	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00
RPS13-PS2	ENSMUSG00000069972	546.35	628.05	572.29	545.13	614.77	677.89	739.04	578.73	756.86	757.12	1132.39	1027.62
GM8054	ENSMUSG00000069986	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM7125	ENSMUSG00000069996	0.00	0.55	0.73	0.95	0.00	0.00	7.68	0.71	0.00	0.00	2.25	0.00
OLFR372	ENSMUSG00000069998	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.03	0.06	0.00
FCHO1	ENSMUSG00000070000	78.84	91.57	78.74	90.50	81.17	91.27	79.52	105.11	76.90	90.47	64.54	57.59
ELL	ENSMUSG00000070002	8.12	6.05	6.06	4.92	7.29	5.79	8.82	5.76	6.99	6.82	8.57	6.02
SSBP4	ENSMUSG00000070003	21.86	21.63	24.39	25.69	18.50	21.09	24.30	14.20	27.88	37.85	36.93	23.57
GM10283	ENSMUSG00000070023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GM10284	ENSMUSG00000070025	0.61	0.64	0.13	0.55	0.40	0.56	0.29	0.89	0.49	0.12	0.00	0.24
SP140	ENSMUSG00000070031	23.07	26.54	32.26	34.67	25.52	26.93	18.75	26.37	22.51	19.24	10.27	14.79
SP110	ENSMUSG00000070034	58.87	86.31	87.19	126.93	58.57	83.41	51.19	65.75	60.97	73.57	74.91	77.77
FAM149A	ENSMUSG00000070044	0.06	0.01	0.02	0.00	0.07	0.03	0.05	0.04	0.09	0.06	0.02	0.00
FAT1	ENSMUSG00000070047	0.05	0.09	0.06	0.05	0.11	0.06	0.09	0.06	0.11	0.07	0.02	0.04
MFHAS1	ENSMUSG00000070056	65.57	30.22	51.12	26.18	23.33	7.08	68.40	28.80	41.92	22.03	60.58	24.37
SNORA33	ENSMUSG00000070063	26.52	0.00	0.00	0.00	0.00	0.00	14.80	0.00	0.00	0.00	90.09	0.00
